id,ancestor_list,origin_time,src,src_args,num_units,total_units,length,merit,gest_time,fitness,gen_born,update_born,update_deactivated,depth,hw_type,inst_set,sequence,cells,gest_offset,lineage
36193168,[36184013],199910,div:int,(none),6,26,98,194,193,1.00518,32060,199910,-1,4826,0,heads_default,icxwjaABrgctjralrBrvfpqyczyubdtadawypxamBbbmpayxecuhpcycjbuyllsjcfrsjucnconAmxazvqnkuzvvvvvfcxvvga,"['373', '424', '1207', '1545', '1966', '2413']","['192', '192', '192', '159', '159', '159']","['0', '0', '0', '0', '0', '0']"
36202782,[36199098],199960,div:int,(none),1,3,146,176,281,0.626335,32089,199960,-1,4841,0,heads_default,wijwjagcnliipayhzayzAhinAwyzljpmdyycxxdmyzpqBapalyecujiiycvxuyzpvtrbpmkqvjfnkcrezsbqvuuzvvvvrfcxvvgawijwjagcnliipayhzayzAhinAwyzljpmdyycxxdmyzpqBa,['384'],['114'],['0']
36206600,[36201881],199980,div:int,(none),1,1,96,0,0,0,32074,199980,-1,4817,0,heads_default,kcywjagctoowrBuoduBounxmzzdcbukumaczmocuzoBpayjecuAsoycxxuypldssetrcbgjeeqwbbafBljlzvvvvvfcxvvga,['432'],['630'],['0']
36210050,[36206169],199998,div:int,(none),1,1,106,0,0,0,32102,199998,-1,4844,0,heads_default,AyjwjagcicilpogcaybapeBenzpkvxlsbparawlkadtbygjpayyecuAicycvbpuyzyvdzcyiAqAysdlcktoeyupzvvvvvfcxvvgaAyjwja,['439'],['94'],['0']
36209659,[36202440],199996,div:int,(none),1,1,103,0,0,0,32065,199996,-1,4821,0,heads_default,nrfwjagcfypwssnAxuofuwxilnAhatBsAzbecapdefBzjpaytecuApcycjfuywxbjikzpnnbcqtAuAnasivszvvvvvfcxvvgaqrfwja,['467'],['46'],['0']
36208394,[36206451],199989,div:int,(none),1,1,119,0,0,0,32090,199989,-1,4867,0,heads_default,dpyecuAiycvbduyzfvqcxbltawBorlkcaheoouqzvvvvsfcxvvgatmkmjatmkmjamudwjxislwjagcruslplqcfybyrlnbzhfcbmblpszajaAoczdshBjpa,['512'],['456'],['0']
36203380,[36202193],199963,div:int,(none),3,7,105,206,212,0.971698,32088,199963,-1,4861,0,heads_default,mkjwjAwmxwjagciuclncbeptfqrinuydxbpbikapemaqbtyzsjBmpajpyecuAqycvAbuynyBxemletpkavfkkpaesnduzvvvvvfcxvvga,"['549', '1005', '1172']","['211', '38', '211']","['0', '0', '0']"
36202460,[36195106],199958,div:int,(none),2,3,119,220,233,0.944206,32086,199958,-1,4855,0,heads_default,mkuwjamubcjaiolwjagcrurlpoqcfybarlnbzhqxbmbeaszajaAbiyzslBjpadpyecuAiycvbBuyzfvqcxbltacBsrlkcayekouuzvvvvvfcxvvgamkuwja,"['588', '2178']","['142', '142']","['0', '0']"
36208555,[36207246],199990,div:int,(none),1,1,103,194,207,0.937198,32067,199990,-1,4821,0,heads_default,nrfwjagcfypwssnAxuofzwxxlnAhatBsAzbecapdefBzjpaytecuApcycjfuywxbjikzpnnbcqtApAnasicszvvvvvfcxvvgaqrfwja,['606'],['199'],['0']
36199102,[36176064],199941,div:int,(none),1,5,97,190,191,0.994764,32061,199941,-1,4832,0,heads_default,gcxwjaAAAgctjaalcBvnfzeqyczsamsahbpwypqoxBzmpayxecuhpcycjbuyllsjubznjtnncunAleapqnkmzvvvvvfcxvvga,['621'],['138'],['0']
